Activity,Paid_or_Not,OT_NOT,Billable_NOT,Holiday_NOT,Absence_NOT
ACW,YES,NOT,YES,Not,NOT
Attrition,NOT,NOT,Not,Not,NOT
Break,YES,NOT,Not,Not,NOT
Busy,YES,NOT,YES,Not,NOT
Coaching Another Supporter,YES,NOT,YES,Not,NOT
Connecting,YES,NOT,YES,Not,NOT
Developmental Time,YES,NOT,YES,Not,NOT
Dialing,YES,NOT,YES,Not,NOT
Dialing_Out,YES,NOT,YES,Not,NOT
Email,YES,NOT,YES,Not,NOT
Email OT,YES,OT,YES,Not,NOT
Employee Engagement,YES,NOT,YES,Not,NOT
Error,YES,NOT,YES,Not,NOT
Holiday,YES,NOT,Not,YES,NOT
Incoming,YES,NOT,YES,Not,NOT
Leave of Absence,NOT,NOT,Not,Not,NOT
Login,NOT,NOT,Not,Not,NOT
Lunch,YES,NOT,Not,Not,NOT
Lunch OT,YES,OT,Not,Not,NOT
Lunch PAID,YES,NOT,Not,Not,NOT
Meeting,YES,NOT,YES,Not,NOT
Misc Meeting,YES,NOT,YES,Not,NOT
Missed,YES,NOT,YES,Not,NOT
New Hire Dev Time,YES,NOT,YES,Not,NOT
New Hire Training,YES,NOT,YES,Not,NOT
Non-Core Work,YES,NOT,YES,Not,NOT
On_Contact,YES,NOT,YES,Not,NOT
On_Hold,YES,NOT,YES,Not,NOT
One-on-One,YES,NOT,YES,Not,NOT
Open,YES,NOT,YES,Not,NOT
Open (Bugs/eCom SAS),YES,NOT,YES,Not,NOT
Open OT,YES,OT,YES,Not,NOT
Other: Non-Core Work,YES,NOT,YES,Not,NOT
Out_Call,YES,NOT,YES,Not,NOT
Out_Call_Ended,YES,NOT,YES,Not,NOT
Overtime,YES,OT,YES,Not,NOT
Overtime Break,YES,OT,Not,Not,NOT
Pending,YES,NOT,YES,Not,NOT
Seller Messaging,YES,NOT,YES,Not,NOT
Seller_Extra_ACW,YES,NOT,YES,Not,NOT
Set Lunch,YES,NOT,Not,Not,NOT
Shadowing,YES,NOT,YES,Not,NOT
Sick Time,YES,NOT,Not,Not,YES
Sidekicking,YES,NOT,YES,Not,NOT
Tardy,NOT,NOT,Not,Not,YES
Team Meeting,YES,NOT,YES,Not,NOT
Technical Issues,YES,NOT,YES,Not,NOT
Technical Issues - Amazon Connect,YES,NOT,YES,Not,NOT
Technical Issues - Hardware/IT Support,YES,NOT,YES,Not,NOT
Technical Issues - Internet/Power Outage,YES,NOT,YES,Not,NOT
Technical Issues - Internet/Power Outage,YES,NOT,YES,Not,NOT
Technical Issues - Square Software,YES,NOT,YES,Not,NOT
Time Off-Partner,YES,NOT,Not,YES,NOT
Training,YES,NOT,YES,Not,NOT
Training (Mindtickle),YES,NOT,YES,Not,NOT
Unplanned Absence,NOT,NOT,Not,Not,YES
Unplanned DevelopmentalTime,YES,NOT,YES,Not,NOT
Unplanned Email,YES,NOT,YES,Not,NOT
Unplanned Manager Escalation,YES,NOT,YES,Not,NOT
Unplanned Meeting,YES,NOT,YES,Not,NOT
Unplanned Non-Core Work,YES,NOT,YES,Not,NOT
Unplanned One-on-One,YES,NOT,YES,Not,NOT
Unplanned Shadowing,YES,NOT,YES,Not,NOT
Unplanned Sidekicking,YES,NOT,YES,Not,NOT
Unplanned Training,YES,NOT,YES,Not,NOT
